[INFO ][2017-09-18 09:07:11,730][AbstractRegistry:302]  [DUBBO] Register: dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryAgentFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831726, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,740][AbstractRegistry:325]  [DUBBO] Subscribe: provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryAgentFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831726, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,758][AbstractRegistry:422]  [DUBBO] Notify urls for subscribe url provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryAgentFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831726, urls: [empty://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryAgentFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831726], dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,762][ServiceBean:108]  [DUBBO] The service ready on spring started. service: com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,768][ServiceConfig:518]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer to local registry, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,768][ServiceConfig:474]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer to url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831765, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,768][ServiceConfig:485]  [DUBBO] Register dubbo service com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831765 to registry registry://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=platform-sysManager&dubbo=2.8.4&pid=11948&registry=zookeeper&timestamp=1505696831765, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,768][AbstractRegistry:302]  [DUBBO] Register: dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831765, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,777][AbstractRegistry:325]  [DUBBO] Subscribe: provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831765, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,786][AbstractRegistry:422]  [DUBBO] Notify urls for subscribe url provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831765, urls: [empty://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentPostDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831765], dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,788][ServiceBean:108]  [DUBBO] The service ready on spring started. service: com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,795][ServiceConfig:518]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer to local registry, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,796][ServiceConfig:474]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer to url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryMonitorFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831793, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,797][ServiceConfig:485]  [DUBBO] Register dubbo service com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryMonitorFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831793 to registry registry://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=platform-sysManager&dubbo=2.8.4&pid=11948&registry=zookeeper&timestamp=1505696831792, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,798][AbstractRegistry:302]  [DUBBO] Register: dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryMonitorFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831793, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,805][AbstractRegistry:325]  [DUBBO] Subscribe: provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryMonitorFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831793, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,815][AbstractRegistry:422]  [DUBBO] Notify urls for subscribe url provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryMonitorFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831793, urls: [empty://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.MonitorFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryMonitorFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831793], dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,816][ServiceBean:108]  [DUBBO] The service ready on spring started. service: com.xinleju.platform.flow.dto.service.MonitorSettingDtoServiceCustomer, dubbo version: 2.8.4, current host: 10.211.55.3
